#x  FES  der_FES_x
0.0630630630631 2.54140255161 -9.54747735709
0.0690690690691 2.48414672857 -9.51689937585
0.0750750750751 2.42708544199 -9.48274352105
0.0810810810811 2.37023989949 -9.44509778322
0.0870870870871 2.31363081396 -9.40403954556
0.0930930930931 2.25727846351 -9.3596367849
0.0990990990991 2.20120274447 -9.31194915269
0.105105105105 2.14542321843 -9.26102894586
0.111111111111 2.08995915353 -9.20692197668
0.117117117117 2.03482956105 -9.14966835079
0.123123123123 1.9800532274 -9.08930316187
0.129129129129 1.92564874229 -9.02585711072
0.135135135135 1.87163452337 -8.95935705653
0.141141141141 1.81802883771 -8.88982650679
0.147147147147 1.76484982058 -8.81728605243
0.153153153153 1.71211549173 -8.74175375378
0.159159159159 1.65984376948 -8.66324548266
0.165165165165 1.60805248293 -8.58177522532
0.171171171171 1.55675938239 -8.49735535054
0.177177177177 1.50598214839 -8.40999684669
0.183183183183 1.45573839925 -8.31970953139
0.189189189189 1.40604569756 -8.22650223667
0.195195195195 1.35692155557 -8.13038297265
0.201201201201 1.30838343963 -8.031359072
0.207207207207 1.26044877392 -7.92943731758
0.213213213213 1.21313494333 -7.82462405522
0.219219219219 1.16645929578 -7.71692529325
0.225225225225 1.12043914401 -7.60634679053
0.231231231231 1.07509176676 -7.49289413426
0.237237237237 1.03043440966 -7.37657280879
0.243243243243 0.986484285578 -7.25738825657
0.249249249249 0.943258574748 -7.13534593217
0.255255255255 0.900774424531 -7.01045135021
0.261261261261 0.859048948919 -6.88271012792
0.267267267267 0.818099227799 -6.75212802311
0.273273273273 0.777942305999 -6.61871096798
0.279279279279 0.738595192148 -6.48246509935
0.285285285285 0.700074857358 -6.34339678583
0.291291291291 0.662398233759 -6.20151265215
0.297297297297 0.625582212888 -6.05681960124
0.303303303303 0.589643643955 -5.90932483412
0.309309309309 0.554599331998 -5.75903586808
0.315315315315 0.52046603593 -5.60596055327
0.321321321321 0.487260466493 -5.45010708791
0.327327327327 0.454999284123 -5.29148403241
0.333333333333 0.423699096734 -5.13010032241
0.339339339339 0.393376457428 -4.96596528103
0.345345345345 0.364047862127 -4.79908863038
0.351351351351 0.335729747153 -4.62948050244
0.357357357357 0.308438486723 -4.4571514494
0.363363363363 0.282190390403 -4.28211245367
0.369369369369 0.257001700493 -4.10437493745
0.375375375375 0.232888589353 -3.92395077207
0.381381381381 0.209867156684 -3.74085228711
0.387387387387 0.187953426745 -3.55509227933
0.393393393393 0.167163345521 -3.36668402157
0.399399399399 0.147512777837 -3.17564127149
0.405405405405 0.129017504422 -2.9819782804
0.411411411411 0.111693218913 -2.78570980198
0.417417417417 0.0955555248183 -2.58685110118
0.423423423423 0.0806199324127 -2.38541796311
0.429429429429 0.0669018555917 -2.1814267021
0.435435435435 0.0544166086638 -1.97489417085
0.441441441441 0.043179403089 -1.76583776981
0.447447447447 0.0332053441616 -1.55427545669
0.453453453453 0.0245094276333 -1.34022575624
0.459459459459 0.0171065362788 -1.12370777023
0.465465465465 0.0110114363993 -0.904741187729
0.471471471471 0.00623877426408 -0.683346295609
0.477477477477 0.00280307248808 -0.459543989436
0.483483483483 0.000718726342925 -0.233355784633
0.489489489489 0.0 -0.0048038280144
0.495495495495 0.000661022703112 0.226089090301
0.501501501502 0.00271578486848 0.459299524583
0.507507507508 0.00617813410951 0.694803360758
0.513513513514 0.0110617711839 0.932575803225
0.51951951952 0.01738024586 1.1725913612
0.525525525526 0.0251469526998 1.41482383456
0.531531531532 0.0343751267556 1.65924629915
0.537537537538 0.0450778391761 1.90583109151
0.543543543544 0.0572679927196 2.15454979306
0.54954954955 0.0709583171707 2.40537321361
0.555555555556 0.0861613646549 2.65827137421
0.561561561562 0.102889504849 2.91321348933
0.567567567568 0.121154920082 3.17016794824
0.573573573574 0.140969600323 3.42910229565
0.57957957958 0.162345338048 3.68998321151
0.585585585586 0.185293722984 3.9527764899
0.591591591592 0.209826136725 4.21744701694
0.597597597598 0.235953747212 4.48395874784
0.603603603604 0.263687503066 4.75227468267
0.60960960961 0.293038127784 5.02235684121
0.615615615616 0.324016113771 5.2941662364
0.621621621622 0.356631716209 5.5676628466
0.627627627628 0.390894946763 5.84280558645
0.633633633634 0.426815567098 6.11955227617
0.63963963964 0.464403082213 6.39785960932
0.645645645646 0.503666733576 6.67768311883
0.651651651652 0.544615492049 6.95897714112
0.657657657658 0.587258050587 7.24169477826
0.663663663664 0.631602816712 7.52578785791
0.66966966967 0.677657904736 7.81120689092
0.675675675676 0.725431127714 8.09790102636
0.681681681682 0.774929989136 8.38581800366
0.687687687688 0.826161674305 8.67490410182
0.693693693694 0.87913304141 8.9651040851
0.6996996997 0.933850612264 9.25636114511
0.705705705706 0.990320562673 9.54861683873
0.711711711712 1.04854871243 9.84181102153
0.717717717718 1.10854051488 10.1358817762
0.723723723724 1.17030104608 10.4307653354
